Run_ID,Thickness_mm,YoungsModulus_MPa,Density_t_mm3,PoissonsRatio
0,0.020046584612808657,1144.6420599342005,1.225489269869142e-09,0.2619543922579406
1,0.009787260685182916,5886.024751639069,1.2602516409970946e-09,0.3439251748876476
2,0.008211194813203739,3654.9614062104433,1.2432359251369953e-09,0.2717109516222679
3,0.029522094278969825,5617.723838672918,1.2725804447650362e-09,0.2973793526541998
4,0.010089432519271132,3993.6182743895824,1.2282931846544866e-09,0.3213681418963384
5,0.0021354708655521907,4897.838792011968,1.2206484128716084e-09,0.3094555168763097
6,0.02228767303801784,4073.3024336908106,1.3278481589528193e-09,0.32551805884998863
7,0.02666320684058479,3052.8903793856866,1.2308014607767764e-09,0.2524322035817872
8,0.02627943553275483,3443.1258804047106,1.276109814002854e-09,0.34860526394188124
9,0.012462402220019278,3864.547403187013,1.279447123083049e-09,0.26666037201063497
10,0.016093934511218686,1876.606051413466,1.222940390764358e-09,0.28407620467090094
11,0.014635194925431493,1962.9540293965133,1.2628835469998682e-09,0.32242787138944606
12,0.003803899493779155,5328.310981084101,1.2897865253903096e-09,0.29246270501616467
13,0.004417802517774013,3380.536129214803,1.3242100356924676e-09,0.2798345400001551
14,0.024143007165698532,3590.9952139224356,1.3047665700155715e-09,0.31177093985292803
15,0.01594209433807537,5050.929300564549,1.320730386123149e-09,0.3467453823185951
16,0.011348664290475633,1456.1121560247948,1.2368425466678558e-09,0.34139209980387475
17,0.023262742012641953,5941.2355427822295,1.2098420798506693e-09,0.2682137577573556
18,0.028554605761767778,2116.732180394216,1.2156761851365733e-09,0.3186555198139204
19,0.018075587495650657,2934.05773653081,1.3081925562145215e-09,0.25566605416018456
20,0.02346798441741666,1350.6009180755482,1.2879564582818041e-09,0.2741464700223028
21,0.021587281239045034,2528.0537044049065,1.2018160685682155e-09,0.34581106666387695
22,0.010869687803741182,4649.895522489664,1.3005379206069094e-09,0.25962105728183144
23,0.005479322348598803,4261.897877390353,1.2036636197221483e-09,0.2567394348137622
24,0.029237384938090097,1591.23500806839,1.240146061382062e-09,0.30364146338368453
25,0.00340747133473063,1630.0292866189252,1.2565087381002052e-09,0.26337526671723593
26,0.006408256365701694,5702.437764836324,1.3129517164039126e-09,0.3134233437921395
27,0.007661156205108026,1009.7397603456159,1.2749720196742868e-09,0.3275952732704095
28,0.008924557740799668,2319.52356425032,1.2111793107347942e-09,0.29028677143181525
29,0.0026952290632922824,2004.7100604930256,1.3036039885329457e-09,0.33847000228516794
30,0.021824345636748323,3735.015339844518,1.2533791548906828e-09,0.29554552255643046
31,0.01205669606263734,2433.80834852731,1.3253648884091492e-09,0.29896988574153655
32,0.016937537799442633,4956.328261076764,1.2690149816464325e-09,0.2506073592498445
33,0.013432905137408866,3265.3130195465164,1.2059218656884492e-09,0.3040649805351316
34,0.02487359788444217,2652.4295073774065,1.265621036774825e-09,0.28243854193795603
35,0.027884105241638688,4331.695104675755,1.293761651217065e-09,0.3370762455394972
36,0.027385694341397336,5408.398815486239,1.3106765580965847e-09,0.2729586551950569
37,0.015194209582229171,4433.514914340796,1.2465177030730478e-09,0.2767366712017559
38,0.020961460510160776,4133.833873683224,1.2590436136208357e-09,0.31485654389524786
39,0.006882509081050155,2751.7696563057098,1.2828365278048681e-09,0.30191017876121534
40,0.025459665070264696,2242.07804310581,1.318431660094426e-09,0.26406164724530456
41,0.025769282617140767,4762.907771613756,1.2340816391077372e-09,0.3283834970558714
42,0.014176659549282142,1259.3613138559929,1.3164014436236733e-09,0.28998527546049796
43,0.013127243957012135,2810.655336030213,1.2911642858086121e-09,0.3311683851956588
44,0.017436345646398295,5500.762443594416,1.2147423608479348e-09,0.33450278396108607
45,0.005110152485678542,3106.3956429951036,1.2480509682629952e-09,0.3339123924684255
46,0.01838179781764454,1744.596385646095,1.2978284899049284e-09,0.3161497597632464
47,0.019306021061194042,5116.888732787509,1.2497676454082305e-09,0.3071829427125507
48,0.0075312555578495675,5273.753948407713,1.2318636183946396e-09,0.281437232215956
49,0.019654845935408102,4512.543795916254,1.2852802386735648e-09,0.28620767845632045
